stopid,stopname
1003,lehmberg
1005,belvedere
1020,heikendorf-am-heidberg
1050,rungholtplatz
1055,bahnhof-oppendorf
1062,wik-kanal
1064,schilksee-kirche
1069,franziusallee
1070,mühlenweg
1071,carl-loewe-weg-kiellinie
1073,wulfsbrook
1075,krusenrotter-weg
1079,universität
1087,rbz-am-schützenpark
1095,tannenberg
1102,goetheschule
1109,klausdorf-nadelberg
1111,hans-geiger-gymnasium
1115,niemannsweg
1116,feldstraße-waitzstraße
1127,an-der-schanze
1130,homannstraße
1133,hdw
1134,jaegerallee-kanalfähre-
1146,göteborgring
1147,schulensee
1148,russee-kirche
1153,grimmstraße
1162,wellingdorf
1167,weinberg
1169,frerich-frerichs-allee
1181,laboe-ostlandstraße
1184,lubinus-clinicum
1205,tresckowweg
1210,eiderbad
1212,seekante
1213,hohenleuchte
1224,diedrichstraße
1235,kieler-straße
1237,reventloubrücke
1240,hubertus
1242,rarsrott
1245,kleinflintbeker-weg
1246,reichenberger-allee
1254,seefischmarkt
1255,eiderbrücke
1256,andreas-gayk-straße
1271,rathaus-opernhaus
1281,schwentinestraße
1286,gärtnerstraße
1287,nelkenweg
1290,reesenberg
1306,seekamp
1307,adolf-westphal-straße
1312,am-langsee
1317,heischberg
1323,stormarnstraße
1326,stavangerstraße
1335,grot-steenbusch
1341,waldeck
1348,sonthofener-straße
1356,melsdorf-schmiedekoppel
1357,stoschstraße
1359,august-sievers-ring
1368,tröndelweg
1369,ellerbeker-weg
1370,kieler-kuhle
1371,ellerbeker-schule
1372,nienbrügger-weg
1375,ellerbeker-markt
1379,torfende
1383,heikendorf-rührsbrook
1390,gerstenkamp
1393,am-reben
1395,martensdamm
1400,hasselrade
1412,buschkoppel
1413,goldregenholz
1422,sportplatz-wellsee
1432,erlenkampsee
1434,rewe-center
1444,krummbogen
1451,schützenwall-boiestraße
1456,steenbeker-weg
1462,gablenzstraße-hörnbad-
1466,bustorfer-weg
1469,seekoppelweg
1472,redinskamp
1473,düvelsbeker-weg
1477,am-hain
1478,bahnhof-suchsdorf
1487,toni-jensen-schule
1491,universität-westring
1502,bremerskamp
1505,russeer-weg
1508,zeppelinring
1517,dahmeweg
1526,holtenau-schule
1538,am-wohld
1540,metzstraße
1541,ostfriedhof
1545,tüv
1550,klausdorfer-weg-ostring
1564,an-der-au
1573,hermannstraße
1576,prieser-strand
1581,claudiusstraße
1584,kunsthochschule
1594,heikendorf-künstlermuseum
1599,unikliniken
1608,hasselfelde
1621,flüggendorfer-straße
1624,rathaus-kronshagen
1626,schleuse
1627,nixenweg
1629,wrangelstraße
1630,lüderitzstraße
1635,dreikronen
1637,lehmkoppel
1638,schulzentrum-elmschenhagen
1643,gurlittstraße
1655,eckernförder-straße
1657,falckensteiner-strand
1658,seestraße
1668,christianistraße
1675,am-teich
1676,wittland
1677,rönne-dorf
1679,alte-siedlung
1680,schwedendamm
1691,dorfstraße
1692,kirchhofallee
1705,uhlenkrog
1708,husumer-weg
1716,bunsenstraße
1722,laboe-hafen
1724,steindamm
1736,fehrsstraße
1744,nordfriedhof
1745,kunsthalle
1746,lindenhain
1748,kronsburg
1752,heikendorf-kitzeberg
1755,kvg-verwaltung-werftstr-
1758,seelandweg
1769,ahz-stift-stettiner-weg
1770,strucksdiek
1774,ivensring
1776,pudelhütte
1783,heikendorf-gymnasium
1787,braunstraße
1791,schlachthof
1792,meimersdorf-schule
1796,jensendamm
1798,pottberg
1802,wohldkoppel
1810,hospitalstraße
1815,kölenberg
1819,klausdorf-südring
1821,brodersdorf
1822,heikendorf-laboer-weg
1823,ansgarkirche
1829,heikendorf-rathaus
1832,schleswiger-straße
1835,johannisburger-straße
1843,schloßgarten
1844,käthe-kollwitz-schule
1849,bürgerhaus-kronshagen
1851,grabastraße
1853,wiesenweg
1860,sophienhöhe
1862,melsdorf-schneiderkoppel
1866,pillauer-straße
1867,ulmenweg
1875,dehnckestraße
1879,partenkirchener-straße
1884,dornbusch
1886,ernst-barlach-gymnasium
1890,bahnhof-elmschenhagen
1891,falckensteiner-straße
1893,stockholmstraße
1895,schauenburgerstraße
1904,daimlerstraße
1909,große-ziegelstraße
1915,richthofenstraße
1918,augustenstraße
1919,schwanenseeplatz
1921,waldhof
1923,waldesruh
1927,fachhochschule
1928,barkauer-straße
1930,marienlust
1931,grüffkamp
1942,kronshagen-schulzentrum
1944,eiche
1945,ottomar-enking-straße
1957,eichhofstraße
1959,nissenstraße
1961,berchtesgadener-straße
1962,aalborgring
1963,ahz-stift-ostpreußenplatz
1964,liebigstraße
1965,altenholz-stift-rathaus
1966,am-voßberg
1971,melsdorfer-feldweg
1972,ihlseeweg
1975,waldwiese
1977,kastanienallee
1979,kätnersredder
1985,hardenbergstraße
1986,laboe-steinkampberg
1987,nordmark-sportfeld-mare-klinikum-
1988,am-stadion
1989,albert-schweitzer-straße
1990,holstein-stadion
1991,altenholz-stift-rote-kate
1992,altenholz-klausdorf-bahnübergang
1997,ostring-b76
1998,heikendorf-haffkamper-weg
2005,winterbeker-weg
2011,saarbrückenstraße
2015,sylter-bogen
2022,bärenkrog
2024,im-saal
2034,alt-mettenhof
2035,samwerstraße
2045,hofkoppel
2046,fröbelstraße
2050,teplitzer-allee
2058,elendsredder
2060,leibnizstraße
2066,wischhofstraße
2067,am-dorfplatz
2074,odensestraße
2078,woltersweg
2082,kieler-weg
2086,wiener-allee
2091,königstein
2110,hebbelschule
2113,grenzstraße
2120,drachenbahn
2125,schulredder
2130,melsdorfer-straße
2132,harmsstraße
2133,edisonstraße
2134,edisonstraße-b404
2141,roonstraße
2143,kreuzung-pries
2146,eichhof
2151,dreiecksplatz
2153,roskilder-weg
2157,malmöweg
2160,ig-wellsee
2169,wenrade
2171,plötzen
2176,heikendorf-silberturmer-weg
2177,abzweig-klausdorf
2183,franzensbader-straße
2187,am-forsthaus
2189,neu-brodersdorf
2191,hanssenstraße
2196,immelmannstraße
2199,diesterwegstraße
2203,karlsburg
2207,auberg
2216,laboe-brodersdorfer-weg
2222,kronshagener-weg
2238,suchsdorfer-weg
2239,südfriedhof
2246,preetzer-straße-ostring
2252,kn-druckzentrum
2254,holunderbusch
2256,ikea
2257,gaardener-ring
2258,kvg-btf-werftstraße
2266,bahnhof-ellerbek
2268,mönkeberg-gänsekrug
2272,ihlkatenweg
2287,petersburger-weg
2293,schauspielhaus
2304,schwanenweg
2305,illerweg
2318,strande
2322,flughafen-kiel
2323,klausdorf-klausdorfer-hof
2327,vulkanweg
2337,botanischer-garten
2346,speckenbeker-weg
2351,mönkeberg-hirschtal
2355,hollmannstraße
2363,knorrstraße
2364,bebelplatz
2375,hansastraße
2377,odbarsweg
2380,fettberg
2387,hauptbahnhof
2392,bootshafen
2396,götenhof
2406,prey
2425,julius-leber-straße
2428,holmredder
2448,redderkamp
2450,am-wellsee
2453,rundweg
2457,rutkamp
2461,hasenholz
2465,alsenstraße
2471,mangoldtstraße
2477,friedenskamp
2488,ziegelteich
2491,gatowweg
2496,klausdorf-schule
2505,heikendorf-grasweg
2508,borsigstraße
2512,tannenholz
2519,königsförder-weg
2535,rondeel
2538,spolertstraße
2541,hauptfeuerwache
2544,christian-kruse-straße
2545,streitkamp
2548,henri-dunant-allee
2550,klausdorf-rosenweg
2561,kolonnenweg
2571,diederichsenpark
2581,pottbergkrug
2582,brauner-berg
2583,narvikstraße
2592,bergenring
2593,institut-für-weltwirtschaft-zbw-
2599,heikendorf-korügen
2600,toweddern
2608,wilhelmplatz
2609,olympiazentrum
2612,citti-park
2615,funkstellenweg
2619,virchowstraße
2623,schiefe-horn
2628,yorckstraße
2633,bellevue-lindenallee
2645,bachweg
2648,ernestinenstraße
2650,lindenauwerft
2652,ipn
2655,barkauer-kreuz
2658,schusterkrug
2668,hamburger-baum
2672,gravensteiner-straße
2679,eichkoppelweg
2687,jütlandring
2693,tiefe-allee
2697,seegarten-ostseekai
2698,klausdorf-schulstraße
2700,selenter-straße
2706,poppenrade
2713,max-tau-schule
2722,dammstraße
2728,kopperpahler-teich
2731,petruskirche
2738,rehbenitzwinkel
2739,herthastraße
2750,trenntrader-weg
2753,villacher-straße
2757,schneiderkamp
2758,marconistraße
2760,mönkeberg-am-eksol
2765,boksberg
2766,maschinenmuseum
2767,flandernbunker
2771,bahnhof-melsdorf
2779,adelheidstraße
2787,hasseldieksdammer-weg
2788,andreas-hofer-platz
2805,uni-sportstätten
2808,kurt-schumacher-platz
2809,adalbertstraße
2811,johann-fleck-straße
2812,stadtrade
2818,lorentzendamm
2819,möllenholt
2833,lantziusstraße
2836,heikendorf-stückenberg
2839,villenweg
2840,exerzierplatz
2852,pappelweg
2854,mercatorstraße
2855,hummelwiese
2856,moorsee-dorfplatz
2858,norwegenkai
2859,schoolkamp
2869,arndtplatz
2870,krooger-kamp
2874,schleusenstraße
2876,laboe-kirche
2878,friedhof-elmschenhagen
2881,apenrader-straße
2882,salzredder
2883,am-biberbach
2886,wiepenkrog
2887,rankestraße
2891,klosterweg
2898,rosenfelder-straße
2899,poggendörper-weg
2900,schlüsbek
2904,melsdorf-dorfplatz
2916,bahnübergang
2921,schönkirchener-straße
2930,räucherei
2931,isarweg
2932,gravelottestraße
2937,prof-peters-platz
2939,landtag
2940,meimersdorfer-weg
2946,bahnhof-russee
2952,universitätsbibliothek
2956,beekkate
2977,klausdorf-liesenhörnweg
2982,schilksee-süd
2989,geschwister-scholl-straße
2992,federmannstraße
2999,jobmesse
4065,betriebshof-diedrichstraße
4085,betriebshof-werftstraße
